G o. </w>	Va </w> ! </w>
H i. </w>	Salut </w> ! </w>
Run ! </w>	C ours </w> ! </w>
Run ! </w>	Cou rez </w> ! </w>
Wow! </w>	Ça </w> alors </w> ! </w>
Fire ! </w>	Au </w> feu </w> ! </w>
Help ! </w>	À </w> l'aide </w> ! </w>
Jump . </w>	Sau te. </w>
Stop! </w>	Ça </w> suffit </w> ! </w>
Stop! </w>	Stop </w> ! </w>
Stop! </w>	Arrête-toi </w> ! </w>
Wait ! </w>	Attends </w> ! </w>
Wait ! </w>	Attendez </w> ! </w>
Go </w> on. </w>	Pour suis. </w>
Go </w> on. </w>	Continue z. </w>
Go </w> on. </w>	Pour suive z. </w>
Hello ! </w>	Bonjour </w> ! </w>
Hello ! </w>	Salut </w> ! </w>
I </w> see. </w>	Je </w> comprends. </w>
I </w> try. </w>	J'essay e. </w>
I </w> won! </w>	J'ai </w> gagné </w> ! </w>
I </w> won! </w>	Je </w> l'ai </w> emporté </w> ! </w>
Oh </w> no ! </w>	Oh </w> non </w> ! </w>
At tack ! </w>	Atta que </w> ! </w>
At tack ! </w>	Atta quez </w> ! </w>
Cheers! </w>	Sant é </w> ! </w>
Cheers! </w>	À </w> votre </w> santé </w> ! </w>
Cheers! </w>	Merci </w> ! </w>
Cheers! </w>	T chin -t chin </w> ! </w>
Get </w> up. </w>	Lève -toi. </w>
Go </w> now. </w>	Va , </w> maintenant. </w>
Go </w> now. </w>	Allez-y </w> maintenant. </w>
Go </w> now. </w>	Vas-y </w> maintenant. </w>
Got </w> it! </w>	J'ai </w> pig é </w> ! </w>
Got </w> it! </w>	Com pris </w> ! </w>
Got </w> it? </w>	P ig é </w> ? </w>
Got </w> it? </w>	Com pris </w> ? </w>
Got </w> it? </w>	T'as </w> capté </w> ? </w>
H op </w> in. </w>	Mon te. </w>
H op </w> in. </w>	Mon tez. </w>
H ug </w> me. </w>	Serre -moi </w> dans </w> tes </w> bras </w> ! </w>
H ug </w> me. </w>	Serre z-moi </w> dans </w> vos </w> bras </w> ! </w>
I </w> fell. </w>	Je </w> suis </w> tombée. </w>
